label,linewidth,density,lineheight,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C99
0KDMANEL,0.2625,0.38758,0.65504,0.558822,0.488921,0.632174,0.415511,0.634382,0.772561,0.765437,0.888567,0.484709,0.708018,0.530958,0.615570,0.716247,0.551862,0.754902,0.596679
0KDMANEL,0.15227,0.33245,0.24583,0.639940,0.462889,0.525685,0.411878,0.672047,0.731450,0.611313,0.790810,0.509303,0.652144,0.551947,0.635771,0.723747,0.567535,0.788378,0.591943
0KDMANEL,0.12083,0.26601,0.31378,0.474613,0.488921,0.508583,0.393205,0.537649,0.669772,0.465610,0.854083,0.443265,0.564257,0.466392,0.628513,0.573141,0.565286,0.722142,0.568724
0KDMANEL,0.13214,0.31515,0.29266,0.562671,0.454768,0.495729,0.425954,0.530590,0.736408,0.519296,0.731266,0.488282,0.567772,0.433072,0.621402,0.611678,0.545812,0.792644,0.495123
0KDMANEL,0.30625,0.34163,0.58427,0.539229,0.488921,0.482158,0.437335,0.541214,0.720288,0.665947,0.912796,0.469427,0.679706,0.478501,0.572442,0.686984,0.544589,0.714114,0.693669
0KDMANEL,0.12625,0.30127,0.25849,0.613319,0.488921,0.499945,0.442755,0.508547,0.764923,0.620666,0.835192,0.498418,0.591861,0.401608,0.593633,0.624881,0.607197,0.636984,0.600250
0KDMANEL,0.1625,0.22462,0.38942,0.478148,0.467694,0.522532,0.401858,0.486584,0.818702,0.563772,0.603612,0.523003,0.772988,0.521693,0.683449,0.807258,0.609409,0.636580,0.685225
0KDMANEL,0.15,0.39518,0.17055,0.555314,0.488921,0.428023,0.455446,0.526541,0.660857,0.620412,0.853133,0.439374,0.657373,0.490376,0.601322,0.651903,0.530379,0.666865,0.602123
0KDMANEL,0.13571,0.29547,0.30134,0.645470,0.501592,0.476570,0.430869,0.507326,0.684001,0.505275,0.905704,0.479905,0.607386,0.513174,0.559900,0.650774,0.540436,0.713197,0.556297
0KDMANEL,0.11447,0.29318,0.24825,0.582416,0.541431,0.538878,0.447582,0.514667,0.722559,0.581674,0.779589,0.513879,0.558147,0.456594,0.651737,0.605147,0.590358,0.632456,0.561882
0KDMANEL,0.11042,0.36669,0.28175,0.638458,0.449477,0.499198,0.365170,0.496432,0.644398,0.569115,0.607955,0.535702,0.551223,0.427176,0.636865,0.621734,0.553658,0.500835,0.517288
0KDMANEL,0.20313,0.39024,0.34202,0.543266,0.467045,0.503344,0.478683,0.654313,0.679949,0.679304,0.623370,0.529348,0.650299,0.584981,0.617876,0.746729,0.549127,0.724314,0.511044
0KDMANEL,0.12812,0.33916,0.26871,0.588651,0.575807,0.514315,0.403098,0.530590,0.692408,0.521738,0.723982,0.501456,0.560534,0.440035,0.644861,0.592220,0.582943,0.772388,0.523065
0KDMANEL,0.12614,0.33432,0.31617,0.528364,0.488921,0.494839,0.442935,0.546370,0.720123,0.510235,0.758011,0.511638,0.564257,0.490653,0.616600,0.672243,0.578423,0.760554,0.529535
0KDMANEL,0.16875,0.33304,0.13902,0.660265,0.488921,0.475049,0.411071,0.505996,0.844514,0.635861,0.928845,0.530045,0.641364,0.474163,0.604104,0.746729,0.613789,0.686758,0.698658
0KDMANEL,0.11742,0.33429,0.28927,0.572416,0.481204,0.505111,0.427328,0.563659,0.715654,0.572569,0.875302,0.542326,0.582638,0.443927,0.638679,0.665750,0.593924,0.792644,0.527262
0KDMANEL,0.125,0.31876,0.31155,0.501333,0.467741,0.480974,0.407217,0.568760,0.739583,0.533349,0.830295,0.468582,0.561713,0.453329,0.616600,0.592220,0.529826,0.731672,0.511271
0KDMANEL,0.13929,0.36577,0.23679,0.670189,0.602950,0.466614,0.399959,0.367075,0.691277,0.587228,0.658780,0.585806,0.602977,0.426171,0.622973,0.759405,0.593017,0.561429,0.672287
0KDMANEL,0.14,0.34519,0.20246,0.606285,0.488921,0.465917,0.424481,0.526541,0.832335,0.620412,0.853133,0.470634,0.613553,0.490376,0.615570,0.657867,0.564809,0.677914,0.602123
0KDMANEL,0.145,0.38678,0.3396,0.550424,0.527975,0.605591,0.429367,0.566906,0.664454,0.682288,0.638369,0.516998,0.597758,0.475145,0.551684,0.746729,0.539668,0.737512,0.492264
0KDMANEL,0.35,0.38603,0.66776,0.633902,0.495594,0.663696,0.430707,0.643552,0.727695,0.758588,0.804527,0.505409,0.723915,0.503234,0.566528,0.679842,0.586373,0.737512,0.531512
0KDMANEL,0.275,0.31783,0.30797,0.468710,0.446832,0.484569,0.403343,0.306540,0.486533,0.492551,NaN,0.469646,0.481128,0.495425,0.582446,0.665023,0.529228,0.496320,0.519104
0KDMANEL,0.16875,0.30483,0.18986,0.604437,0.584054,0.530837,0.456081,0.479737,0.813867,0.743720,0.783998,0.513275,0.708897,0.507287,0.506010,0.770487,0.614701,0.675664,0.536455
0KDMANEL,0.115,0.25217,0.27207,0.461230,0.462889,0.443140,0.443790,0.492130,0.582379,0.409636,0.832720,0.401735,0.528479,0.431187,0.594665,0.566858,0.515171,0.511297,0.673503
0KDMANEL,0.11579,0.31392,0.29464,0.650492,0.488921,0.464822,0.418478,0.530590,0.787267,0.570135,0.881252,0.495708,0.566903,0.450757,0.633618,0.724151,0.596137,0.792644,0.531512
0KDMANEL,0.11364,0.30747,0.30526,0.501333,0.473316,0.501640,0.396627,0.527840,0.757991,0.540910,0.826153,0.530568,0.561713,0.446572,0.616176,0.599140,0.529941,0.656678,0.558013
0KDMANEL,0.15833,0.31438,0.28602,0.570547,0.476278,0.625132,0.473343,0.665172,0.716554,0.774226,0.802451,0.538915,0.801909,0.517312,0.556490,0.724786,0.606531,0.783159,0.586408
0KDMANEL,0.15,0.37569,0.37418,0.610780,0.471985,0.500927,0.414082,0.671709,0.712944,0.654377,0.810684,0.533724,0.688687,0.538320,0.623306,0.679842,0.553261,0.713742,0.530074
0KDMANEL,0.11071,0.35062,0.29426,0.641600,0.595427,0.490211,0.429467,0.558394,0.736408,0.571331,0.755709,0.509939,0.576874,0.470360,0.642768,0.665750,0.572433,0.779086,0.532998
0KDMANEL,0.1975,0.30625,0.65068,0.521595,0.488873,0.609060,0.437335,0.657574,0.792970,0.670954,0.860488,0.459943,0.682922,0.520737,0.560961,0.705243,0.539081,0.753778,0.540371
0KDMANEL,0.15417,0.30197,0.28571,0.462512,0.515312,0.471500,0.400626,0.568760,0.764280,0.535113,0.842143,0.451558,0.567772,0.469535,0.594665,0.624881,0.542064,0.731672,0.441148
0KDMANEL,0.11364,0.30747,0.30526,0.501333,0.473316,0.501640,0.396627,0.527840,0.757991,0.540910,0.826153,0.530568,0.561713,0.446572,0.616176,0.599140,0.529941,0.656678,0.558013
0KDMANEL,0.12917,0.34779,0.22326,0.643387,0.616567,0.447762,0.405013,0.474691,0.814174,0.564566,0.871335,0.604677,0.594877,0.443827,0.592083,0.764788,0.542852,0.752381,0.549204
0KDMANEL,0.10357,0.33269,0.27451,0.592833,0.481204,0.499198,0.443790,0.487878,0.644398,0.562461,0.608453,0.518463,0.566805,0.464275,0.628805,0.621734,0.559671,0.511297,0.534530
0KDMANEL,0.125,0.26242,0.20494,0.492715,0.492152,0.620417,0.392350,0.577370,0.822774,0.506247,0.807559,0.440010,0.650035,0.413543,0.542830,0.716247,0.579511,0.786991,0.604853
0KDMANEL,0.12222,0.34269,0.28393,0.615345,0.561053,0.492110,0.418478,0.500418,0.730413,0.532352,0.726289,0.504470,0.573838,0.412811,0.593618,0.618255,0.538772,0.630124,0.517601
0KDMANEL,0.1575,0.30299,0.79688,0.592261,0.478992,0.508951,0.406999,0.536088,0.711146,0.575141,0.914080,0.459943,0.608846,0.486076,0.582866,0.624881,0.625043,0.655826,0.529535
0KDMANEL,0.22917,0.32895,0.72115,0.610780,0.457892,0.518807,0.416213,0.520863,0.704371,0.505327,0.855972,0.437580,0.602198,0.469412,0.554367,0.624881,0.615824,0.657463,0.525757
0KDMANEL,0.19167,0.31054,0.17949,0.671695,0.424645,0.467928,0.399475,0.428374,0.819430,0.634849,0.758064,0.569262,0.670234,0.523921,0.597241,0.776442,0.578949,0.675664,0.530672
0KDMANEL,0.12083,0.26601,0.31378,0.474613,0.488921,0.508583,0.393205,0.537649,0.669772,0.465610,0.854083,0.443265,0.564257,0.466392,0.628513,0.573141,0.565286,0.722142,0.568724
0KDMANEL,0.098529,0.3253,0.2674,0.586536,0.481204,0.473877,0.393205,0.543742,0.669562,0.512851,0.873075,0.495713,0.563669,0.513174,0.628805,0.614740,0.588572,0.770154,0.515697
0KDMANEL,0.175,0.35508,0.15495,0.569523,0.478992,0.486608,0.464415,0.542793,0.680142,0.594707,0.864612,0.426516,0.660546,0.511967,0.611280,0.686886,0.585484,0.695379,0.698658
0KDMANEL,0.1325,0.26464,0.28095,0.666542,0.616567,0.505766,0.412411,0.487708,0.678058,0.619757,0.889728,0.570691,0.626498,0.457104,0.554367,0.723716,0.567728,0.720674,0.672287
0KDMANEL,0.1375,0.29757,0.39465,0.480791,0.445300,0.484603,0.396321,0.492130,0.578776,0.498483,0.676974,0.485505,0.628916,0.505196,0.621402,0.716247,0.599799,0.549269,0.476335
0KDMANEL,0.22083,0.32915,0.16328,0.661548,0.487368,0.465883,0.464415,0.444664,0.831234,0.669417,0.813103,0.534190,0.663724,0.449524,0.588813,0.702844,0.596844,0.611988,0.698658
0KDMANEL,0.13553,0.31384,0.27083,0.606481,0.517365,0.465773,0.439442,0.591974,0.700966,0.611321,0.818163,0.494120,0.579569,0.462231,0.595415,0.658797,0.594849,0.743819,0.511920
0KDMANEL,0.12222,0.35582,0.25676,0.656966,0.504151,0.533616,0.369628,0.482446,0.746352,0.616120,0.742063,0.564170,0.552042,0.445298,0.673846,0.645066,0.613876,0.590392,0.521539
0KDMANEL,0.26964,0.31,0.12908,0.652973,0.462889,0.508951,0.413619,0.536088,0.729230,0.659389,0.825335,0.520555,0.684547,0.504282,0.622973,0.716247,0.625043,0.690645,0.693669
0KDMANEL,0.19,0.38205,0.31953,0.526383,0.530038,0.499945,0.478683,0.654313,0.664547,0.623599,0.591191,0.504470,0.666790,0.511557,0.617876,0.762477,0.571894,0.678744,0.495074
0KDMANEL,0.15385,0.32489,0.71078,0.588269,0.478992,0.508951,0.437335,0.536088,0.711146,0.574263,0.907106,0.459943,0.632186,0.486076,0.582866,0.645066,0.625043,0.655826,0.529535
0KDMANEL,0.12885,0.30161,0.25641,0.522825,0.538571,0.530837,0.449774,0.579582,0.752014,0.545416,0.780033,0.481864,0.619272,0.445895,0.627271,0.631557,0.561053,0.749954,0.490599
0KDMANEL,0.11,0.36113,0.35849,0.663009,0.478992,0.502794,0.370037,0.557640,0.728715,0.636262,0.885780,0.507740,0.616599,0.513174,0.631611,0.665527,0.588572,0.667592,0.568031
0KDMANEL,0.125,0.33738,0.25772,0.657449,0.588343,0.498766,0.412068,0.503877,0.735999,0.552629,0.822410,0.539997,0.582638,0.405768,0.595415,0.631557,0.588020,0.672814,0.556159
0KDMANEL,0.11389,0.33964,0.3354,0.613319,0.512179,0.496944,0.411107,0.537546,0.714078,0.621632,0.925298,0.493010,0.613494,0.513174,0.575762,0.658797,0.597905,0.656678,0.556297
